recipient_key	recipient_name	ticker	basis	evidence	confirmed_at
1b870f9e-28fd-fecf-a5bd-abb4bd04e550-C	LOCKHEED MARTIN CORPORATION	LMT	own-name	Recipient name 'LOCKHEED MARTIN CORPORATION' matches SEC issuer 'LOCKHEED MARTIN CORP' (LMT)	2026-07-18
1c5c053c-719d-0c13-5434-9736426147ef-C	HONEYWELL INTERNATIONAL INC.	HON	own-name	Recipient name 'HONEYWELL INTERNATIONAL INC.' matches SEC issuer 'HONEYWELL INTERNATIONAL INC' (HON)	2026-07-18
1d10c8dc-bddb-c540-f234-91dd249f452e-C	ADVANCED MICRO DEVICES, INC.	AMD	own-name	Recipient name 'ADVANCED MICRO DEVICES, INC.' matches SEC issuer 'ADVANCED MICRO DEVICES INC' (AMD)	2026-07-18
1d88632b-81d6-b72b-652f-c183b3bf0481-C	GENERAL DYNAMICS MISSION SYSTEMS, INC.	GD	parent-name	SAM.gov parent 'GENERAL DYNAMICS CORP' matches SEC issuer 'GENERAL DYNAMICS CORP' (GD); subsidiary 'GENERAL DYNAMICS MISSION SYSTEMS, INC.' per SAM.gov hierarchy	2026-07-18
1e2a2523-5616-b8b9-20ad-976519364d40-C	ATMOS ENERGY CORPORATION	ATO	own-name	Recipient name 'ATMOS ENERGY CORPORATION' matches SEC issuer 'ATMOS ENERGY CORP' (ATO)	2026-07-18
1fa8e8a8-9489-3b06-779d-7bd4ce531b2e-C	AT&T CORP.	T	own-name	Recipient name 'AT&T CORP.' matches SEC issuer 'AT&T INC.' (T)	2026-07-18
1fd9c5d7-99f5-9f2b-29ce-2333453eb637-C	RAYTHEON COMPANY	RTX	parent-name	SAM.gov parent 'RTX CORP' matches SEC issuer 'RTX Corp' (RTX); subsidiary 'RAYTHEON COMPANY' per SAM.gov hierarchy	2026-07-18
1ff1ee01-c907-4842-d443-a2ba2302dcf5-C	SYSCO WESTERN MINNESOTA, INC.	SYY	parent-name	SAM.gov parent 'SYSCO CORP' matches SEC issuer 'SYSCO CORP' (SYY); subsidiary 'SYSCO WESTERN MINNESOTA, INC.' per SAM.gov hierarchy	2026-07-18
203430f8-c340-6b28-6176-a3251ad63357-C	WICKR LLC	AMZN	parent-name	SAM.gov parent 'AMAZON.COM, INC.' matches SEC issuer 'AMAZON COM INC' (AMZN); subsidiary 'WICKR LLC' per SAM.gov hierarchy	2026-07-18
2059c143-eab8-8123-0622-9f40d0741839-C	PACIFIC BELL TELEPHONE COMPANY	T	parent-name	SAM.gov parent 'AT&T INC.' matches SEC issuer 'AT&T INC.' (T); subsidiary 'PACIFIC BELL TELEPHONE COMPANY' per SAM.gov hierarchy	2026-07-18
21b5ad17-3d56-1895-9497-59bc8f8d29f0-C	ARTIVION, INC	AORT	own-name	Recipient name 'ARTIVION, INC' matches SEC issuer 'ARTIVION, INC.' (AORT)	2026-07-18
223a51b1-d9aa-b2d3-7642-8295d9a47223-C	ADM RICE INC	ADM	parent-name	SAM.gov parent 'ARCHER-DANIELS-MIDLAND COMPANY' matches SEC issuer 'Archer-Daniels-Midland Co' (ADM); subsidiary 'ADM RICE INC' per SAM.gov hierarchy	2026-07-18
25bed424-595c-f091-acaa-5ccdea9eed59-C	VIRGINIA ELECTRIC AND POWER COMPANY	D	parent-name	SAM.gov parent 'DOMINION ENERGY, INC.' matches SEC issuer 'DOMINION ENERGY, INC' (D); subsidiary 'VIRGINIA ELECTRIC AND POWER COMPANY' per SAM.gov hierarchy	2026-07-18
26206021-3c95-80f8-8ebb-e44b98937974-C	SMITH & NEPHEW, INC.	SNN	own-name	Recipient name 'SMITH & NEPHEW, INC.' matches SEC issuer 'SMITH & NEPHEW PLC' (SNN)	2026-07-18
2697b8f8-115d-2ae1-bded-25a933bfd6ca-C	SMITH & NEPHEW INC	SNN	own-name	Recipient name 'SMITH & NEPHEW INC' matches SEC issuer 'SMITH & NEPHEW PLC' (SNN)	2026-07-18
26f00ae5-8cb8-d442-041f-5cc9072cd581-C	LUMASENSE TECHNOLOGIES, INC	AEIS	parent-name	SAM.gov parent 'ADVANCED ENERGY INDUSTRIES INC' matches SEC issuer 'ADVANCED ENERGY INDUSTRIES INC' (AEIS); subsidiary 'LUMASENSE TECHNOLOGIES, INC' per SAM.gov hierarchy	2026-07-18
27eda372-3f44-0c3c-7b78-b7f5dbefd2e8-C	CUSHMAN & WAKEFIELD INC	CWK	own-name	Recipient name 'CUSHMAN & WAKEFIELD INC' matches SEC issuer 'Cushman & Wakefield Ltd.' (CWK)	2026-07-18
28322da1-4ca5-b20b-1e6e-6c3da7ae8071-C	NATIONAL GRID USA SERVICE COMPANY, INC.	NGG	own-name	Recipient name 'NATIONAL GRID USA SERVICE COMPANY, INC.' matches SEC issuer 'NATIONAL GRID PLC' (NGG)	2026-07-18
2acfbd75-26c2-0328-d37e-27e90dcef4db-C	RAYTHEON/LOCKHEED MARTIN JAVELIN JV	RTX	parent-name	SAM.gov parent 'RTX CORP' matches SEC issuer 'RTX Corp' (RTX); subsidiary 'RAYTHEON/LOCKHEED MARTIN JAVELIN JV' per SAM.gov hierarchy	2026-07-18
2bcc84b1-fc6a-77a3-e418-10abe600fb5f-C	JOHNSON CONTROLS FIRE PROTECTION LP	JCI	parent-name	SAM.gov parent 'JOHNSON CONTROLS, INC.' matches SEC issuer 'Johnson Controls International plc' (JCI); subsidiary 'JOHNSON CONTROLS FIRE PROTECTION LP' per SAM.gov hierarchy	2026-07-18
2d0fb54c-8c59-b112-8ece-d0db6b5089eb-C	BRANTNER AND ASSOCIATES, INC.	TEL	parent-name	SAM.gov parent 'TE CONNECTIVITY LTD.' matches SEC issuer 'TE Connectivity plc' (TEL); subsidiary 'BRANTNER AND ASSOCIATES, INC.' per SAM.gov hierarchy	2026-07-18
2daab7a7-91da-74a6-ba82-682ef9da1fc7-C	ROCKWELL AUTOMATION, INC.	ROK	own-name	Recipient name 'ROCKWELL AUTOMATION, INC.' matches SEC issuer 'ROCKWELL AUTOMATION, INC' (ROK)	2026-07-18
2e28641b-d8b0-be2b-fb19-a5e8d3e334e6-C	PANJIVA, INC	SPGI	parent-name	SAM.gov parent 'S&P GLOBAL INC.' matches SEC issuer 'S&P Global Inc.' (SPGI); subsidiary 'PANJIVA, INC' per SAM.gov hierarchy	2026-07-18
2f611a25-9e07-9d3e-38fe-171ec7f2b2d4-C	OGILVY PUBLIC RELATIONS WORLDWIDE LLC	WPP	parent-name	SAM.gov parent 'WPP PLC' matches SEC issuer 'WPP plc' (WPP); subsidiary 'OGILVY PUBLIC RELATIONS WORLDWIDE LLC' per SAM.gov hierarchy	2026-07-18
30b32b62-ffbf-d7e6-5b9d-95a295b95a6d-C	BOOZ ALLEN HAMILTON INC	BAH	own-name	Recipient name 'BOOZ ALLEN HAMILTON INC' matches SEC issuer 'Booz Allen Hamilton Holding Corp' (BAH)	2026-07-18
314864f8-c8ed-733f-da40-569a09eaee81-C	REMEL INC.	TMO	parent-name	SAM.gov parent 'THERMO FISHER SCIENTIFIC INC.' matches SEC issuer 'THERMO FISHER SCIENTIFIC INC.' (TMO); subsidiary 'REMEL INC.' per SAM.gov hierarchy	2026-07-18
3241605e-a536-94ee-2b38-2c56bca7d9c0-C	AVIS RENT A CAR SYSTEM, LLC	CAR	parent-name	SAM.gov parent 'AVIS BUDGET GROUP, INC.' matches SEC issuer 'AVIS BUDGET GROUP, INC.' (CAR); subsidiary 'AVIS RENT A CAR SYSTEM, LLC' per SAM.gov hierarchy	2026-07-18
360760cb-a2ed-6aa4-2d81-a7909557d12c-C	HONEYWELL INTERNATIONAL INC.	HON	own-name	Recipient name 'HONEYWELL INTERNATIONAL INC.' matches SEC issuer 'HONEYWELL INTERNATIONAL INC' (HON)	2026-07-18
3612de0a-9635-3846-a5a1-7f555fba52df-C	DELL FEDERAL SYSTEMS L.P	DELL	parent-name	SAM.gov parent 'DELL TECHNOLOGIES INC.' matches SEC issuer 'Dell Technologies Inc.' (DELL); subsidiary 'DELL FEDERAL SYSTEMS L.P' per SAM.gov hierarchy	2026-07-18
379b0a4a-69bf-aa93-6907-c828ad4635a4-C	CANON FINANCIAL SERVICES, INC.	CAJPY	parent-name	SAM.gov parent 'CANON INC.' matches SEC issuer 'CANON INC' (CAJPY); subsidiary 'CANON FINANCIAL SERVICES, INC.' per SAM.gov hierarchy	2026-07-18
388ab88d-74c2-54ac-19e4-cb2df60ad520-C	TYSON FOODS INC.	TSN	own-name	Recipient name 'TYSON FOODS INC.' matches SEC issuer 'TYSON FOODS, INC.' (TSN)	2026-07-18
38edfb63-f368-e976-7fce-8f100a2f30b9-C	DOMINION PRIVATIZATION VIRGINIA, LLC	D	parent-name	SAM.gov parent 'DOMINION ENERGY, INC.' matches SEC issuer 'DOMINION ENERGY, INC' (D); subsidiary 'DOMINION PRIVATIZATION VIRGINIA, LLC' per SAM.gov hierarchy	2026-07-18
39120e4d-cc1c-07a1-ba75-0d0b10a47b97-C	BOOZ ALLEN HAMILTON INC	BAH	own-name	Recipient name 'BOOZ ALLEN HAMILTON INC' matches SEC issuer 'Booz Allen Hamilton Holding Corp' (BAH)	2026-07-18
39eabfb8-e859-05b4-9485-86c17286ba46-C	THERMO SCIENTIFIC PORTABLE ANALYTICAL INSTRUMENTS INC.	TMO	parent-name	SAM.gov parent 'THERMO FISHER SCIENTIFIC INC.' matches SEC issuer 'THERMO FISHER SCIENTIFIC INC.' (TMO); subsidiary 'THERMO SCIENTIFIC PORTABLE ANALYTICAL INSTRUMENTS INC.' per SAM.gov hierarchy	2026-07-18
3a3721f9-b023-7fd4-1d19-315f54efaafe-C	PROQUEST LLC	CLVT	parent-name	SAM.gov parent 'CLARIVATE PLC' matches SEC issuer 'CLARIVATE PLC' (CLVT); subsidiary 'PROQUEST LLC' per SAM.gov hierarchy	2026-07-18
3b507120-47bb-6581-7ec2-0dbbb96de860-C	UBER TECHNOLOGIES, INC.	UBER	own-name	Recipient name 'UBER TECHNOLOGIES, INC.' matches SEC issuer 'Uber Technologies, Inc' (UBER)	2026-07-18
3b9c0dbd-b9c4-b7d2-3441-01e53b2136d6-C	DELTA AIR LINES, INC.	DAL	own-name	Recipient name 'DELTA AIR LINES, INC.' matches SEC issuer 'DELTA AIR LINES, INC.' (DAL)	2026-07-18
3ce4c8f8-2cae-67b5-75db-644e5e88b54b-C	HOST HOTELS & RESORTS LP	HST	own-name	Recipient name 'HOST HOTELS & RESORTS LP' matches SEC issuer 'HOST HOTELS & RESORTS, INC.' (HST)	2026-07-18
3f1fc442-c908-93e2-51d0-a732086bd82c-C	CHSP TRS FISHERMAN WHARF LLC	PK	parent-name	SAM.gov parent 'PARK HOTELS & RESORTS INC.' matches SEC issuer 'Park Hotels & Resorts Inc.' (PK); subsidiary 'CHSP TRS FISHERMAN WHARF LLC' per SAM.gov hierarchy	2026-07-18
3f4b042f-341c-af1f-1f2f-e2f9d6d086b4-C	REAL CAPITAL ANALYTICS, INC	MSCI	parent-name	SAM.gov parent 'MSCI INC' matches SEC issuer 'MSCI Inc.' (MSCI); subsidiary 'REAL CAPITAL ANALYTICS, INC' per SAM.gov hierarchy	2026-07-18
4051d253-67f0-30bd-2c7f-5eb539533924-C	LOCKHEED MARTIN CORP	LMT	own-name	Recipient name 'LOCKHEED MARTIN CORP' matches SEC issuer 'LOCKHEED MARTIN CORP' (LMT)	2026-07-18
416e01b8-a579-75ca-d731-d28aca2e2d59-C	GULFSTREAM AEROSPACE CORPORATION	GD	parent-name	SAM.gov parent 'GENERAL DYNAMICS CORP' matches SEC issuer 'GENERAL DYNAMICS CORP' (GD); subsidiary 'GULFSTREAM AEROSPACE CORPORATION' per SAM.gov hierarchy	2026-07-18
42466698-fd45-b54a-8678-8f7fa4a4f88b-C	GOODRICH ACTUATION SYSTEMS LIMITED	RTX	parent-name	SAM.gov parent 'RTX CORP' matches SEC issuer 'RTX Corp' (RTX); subsidiary 'GOODRICH ACTUATION SYSTEMS LIMITED' per SAM.gov hierarchy	2026-07-18
43804642-bf8d-a303-906f-faeeb9fa7d8a-C	LEXISNEXIS RISK SOLUTIONS FL INC.	RELX	parent-name	SAM.gov parent 'RELX PLC' matches SEC issuer 'RELX PLC' (RELX); subsidiary 'LEXISNEXIS RISK SOLUTIONS FL INC.' per SAM.gov hierarchy	2026-07-18
4386ea28-0ac2-26d8-57cb-ccf3e78cd65e-C	PERFORMANCE EQUITY MANAGEMENT, LLC	GM	parent-name	SAM.gov parent 'GENERAL MOTORS COMPANY' matches SEC issuer 'General Motors Co' (GM); subsidiary 'PERFORMANCE EQUITY MANAGEMENT, LLC' per SAM.gov hierarchy	2026-07-18
447b8c8a-5d1b-fb75-ef60-846c227097c6-C	SBA TOWERS II LLC	SBAC	parent-name	SAM.gov parent 'SBA COMMUNICATIONS CORPORATION' matches SEC issuer 'SBA COMMUNICATIONS CORP' (SBAC); subsidiary 'SBA TOWERS II LLC' per SAM.gov hierarchy	2026-07-18
44ce81f7-2dd1-a89d-90d9-2d5b885e3f41-C	MENTOR WORLDWIDE LLC	JNJ	parent-name	SAM.gov parent 'JOHNSON & JOHNSON' matches SEC issuer 'JOHNSON & JOHNSON' (JNJ); subsidiary 'MENTOR WORLDWIDE LLC' per SAM.gov hierarchy	2026-07-18
4550c803-89d0-bce3-c617-b6add852480b-C	CUMMINS ROCKY MOUNTAIN, LLC	CMI	parent-name	SAM.gov parent 'CUMMINS INC.' matches SEC issuer 'CUMMINS INC' (CMI); subsidiary 'CUMMINS ROCKY MOUNTAIN, LLC' per SAM.gov hierarchy	2026-07-18
455555be-773d-eab1-1e6b-7b94400b757e-C	GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.	GD	parent-name	SAM.gov parent 'GENERAL DYNAMICS CORP' matches SEC issuer 'GENERAL DYNAMICS CORP' (GD); subsidiary 'GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.' per SAM.gov hierarchy	2026-07-18
46023044-eacc-a9ca-5b5e-ddc4673fc267-C	LOCKHEED MARTIN CORP	LMT	own-name	Recipient name 'LOCKHEED MARTIN CORP' matches SEC issuer 'LOCKHEED MARTIN CORP' (LMT)	2026-07-18
464a5b15-000e-8668-246a-c4067a6f0452-C	HAMILTON SUNDSTRAND CORPORATION	RTX	parent-name	SAM.gov parent 'RTX CORP' matches SEC issuer 'RTX Corp' (RTX); subsidiary 'HAMILTON SUNDSTRAND CORPORATION' per SAM.gov hierarchy	2026-07-18
49ba01f3-56b6-92fd-1814-1a521f21fe7e-C	LOCKHEED MARTIN CORPORATION	LMT	own-name	Recipient name 'LOCKHEED MARTIN CORPORATION' matches SEC issuer 'LOCKHEED MARTIN CORP' (LMT)	2026-07-18
4a1f028e-c2db-7515-800b-214ca781631c-C	ILLINOIS TOOL WORKS INC	ITW	own-name	Recipient name 'ILLINOIS TOOL WORKS INC' matches SEC issuer 'ILLINOIS TOOL WORKS INC' (ITW)	2026-07-18
4a228748-a256-002e-de46-4dd145e98dfe-C	RAYTHEON COMPANY	RTX	parent-name	SAM.gov parent 'RTX CORP' matches SEC issuer 'RTX Corp' (RTX); subsidiary 'RAYTHEON COMPANY' per SAM.gov hierarchy	2026-07-18
4acc00cb-4142-56db-919d-5873214336ee-C	AZENTA, INC.	AZTA	own-name	Recipient name 'AZENTA, INC.' matches SEC issuer 'Azenta, Inc.' (AZTA)	2026-07-18
